Hash,HashNeedThis,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,ProductClass,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,ColorwaySKU7,Size0,Size1,Size2,Size3,Size4,Size5,Size6,Size7,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,LineList,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
01004-007-01,01004-007-01,"Bike, Moto",SP23,SKYCAP,Backpack,Accessories,Soft Goods,SP22,"SP23, FA22, SP22",Backpack,Regular,,,Grey,TRUE,FALSE,01004-007-01,01004-007-01,,,,,,,,OS,,,,,,,,55,60,CN,100% Polyester,"Our all new SKYCAP is the perfect 2 compartment back-to-school utility backpack. This pack offers great school friendly organization in a compact design directly driven from the 100% design DNA. This pack features a zippered fleece lined eyewear/media pocket, interior padded tablet sleeve with organization, room for all needed supplies and a zippered front stash pocket with easy access.","- large main compartment
- front zippered accessory stash pocket
- upper zippered fleece lined sunglass/glasses pocket
- padded interior laptop/tablet sleeve
- Internal organization pockets
- Screenprint logos
- padded back panel
- padded shoulder straps
- haul handle at top
- 44cm H x 25cm W x 12cm D
- 13.2L","2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",https://fs.amplifi.io//file?id=6c5d0830-6f8a-4879-8ff9-dd880b9c674f,https://fs.amplifi.io//file?id=6c5d0830-6f8a-4879-8ff9-dd880b9c674f&variant=thumb&extension=png,https://fs.amplifi.io//file?id=6c5d0830-6f8a-4879-8ff9-dd880b9c674f,https://fs.amplifi.io//file?id=0aa7e17c-e3bb-4682-a9ae-c1a747f8db85,https://fs.amplifi.io//file?id=b1b2954f-2b2b-4638-a88a-58f03beab638,https://fs.amplifi.io//file?id=81af5bcc-9b4c-40a2-963d-0e7fff092f41,,,,,,,
01004-068-01,01004-068-01,"Bike, Moto",SP23,SKYCAP,Backpack,Accessories,Soft Goods,SP22,"SP23, FA22, SP22",Backpack,Regular,,,Brick,TRUE,FALSE,01004-068-01,01004-068-01,,,,,,,,OS,,,,,,,,55,60,CN,100% Polyester,"Our all new SKYCAP is the perfect 2 compartment back-to-school utility backpack. This pack offers great school friendly organization in a compact design directly driven from the 100% design DNA. This pack features a zippered fleece lined eyewear/media pocket, interior padded tablet sleeve with organization, room for all needed supplies and a zippered front stash pocket with easy access.","- large main compartment
- front zippered accessory stash pocket
- upper zippered fleece lined sunglass/glasses pocket
- padded interior laptop/tablet sleeve
- Internal organization pockets
- Screenprint logos
- padded back panel
- padded shoulder straps
- haul handle at top
- 44cm H x 25cm W x 12cm D
- 13.2L","2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",https://fs.amplifi.io//file?id=68cdb3d2-3df2-4cf5-bc08-524de84a879c,https://fs.amplifi.io//file?id=68cdb3d2-3df2-4cf5-bc08-524de84a879c&variant=thumb&extension=png,https://fs.amplifi.io//file?id=80fa1f14-360f-45dd-98f3-f7a295ab5d4a,https://fs.amplifi.io//file?id=08ef1d95-0a98-4842-a080-af95cfe5eaa9,https://fs.amplifi.io//file?id=68cdb3d2-3df2-4cf5-bc08-524de84a879c,https://fs.amplifi.io//file?id=1f56612f-7915-46cb-ab78-154f9a720d05,,,,,,,
01004-404-01,01004-404-01,"Bike, Moto",SP23,SKYCAP,Backpack,Accessories,Soft Goods,SP22,"SP23, FA22, SP22",Backpack,Regular,,,Vapor,TRUE,FALSE,01004-404-01,01004-404-01,,,,,,,,OS,,,,,,,,55,60,CN,100% Polyester,"Our all new SKYCAP is the perfect 2 compartment back-to-school utility backpack. This pack offers great school friendly organization in a compact design directly driven from the 100% design DNA. This pack features a zippered fleece lined eyewear/media pocket, interior padded tablet sleeve with organization, room for all needed supplies and a zippered front stash pocket with easy access.","- large main compartment
- front zippered accessory stash pocket
- upper zippered fleece lined sunglass/glasses pocket
- padded interior laptop/tablet sleeve
- Internal organization pockets
- Screenprint logos
- padded back panel
- padded shoulder straps
- haul handle at top
- 44cm H x 25cm W x 12cm D
- 13.2L","2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",https://fs.amplifi.io//file?id=757e115c-47a2-44ae-a1d1-ce7697186533,https://fs.amplifi.io//file?id=757e115c-47a2-44ae-a1d1-ce7697186533&variant=thumb&extension=png,https://fs.amplifi.io//file?id=757e115c-47a2-44ae-a1d1-ce7697186533,https://fs.amplifi.io//file?id=8d83e3c7-aae7-4ac6-a0ea-790b7dec900b,,,,,,,,,
01005-068-01,01005-068-01,"Bike, Moto",SP23,TRANSIT,Backpack,Accessories,Soft Goods,FA21,"SP23, FA22, SP22, FA21",Backpack,Regular,,,Brick,TRUE,FALSE,01005-068-01,01005-068-01,,,,,,,,OS,,,,,,,,75,80,CN,100% Polyester,"The all new TRANSIT backpack has been redesigned for functionality. We've added a zippered bottom compartment with interior expansion capabilities perfect for shoes or laundry. The main compartment has plenty of room for all needed supplies with a zippered mesh interior pocket with organization. There's a padded zippered side entry compartment that fits a 15"" laptop and or tablet. We've also included a zippered fleece lined eyewear/media pocket up top and a side stretch mesh water bottle pocket. Also, included are padded airmesh back panel, straps and integrated haul handle for traveling. The redesigned TRANSIT backpack is sure to be your next go-to pack.","- Large main compartment
- 2 front zippered accessory stash pockets 
- Zippered bottom compartment for shoes/laundry with interior expansion
- Upper zippered fleece lined glasses pocket.
- Padded zippered side entry laptop/tablet pocket with gusset
- Internal organization pockets and mesh zippered stash pocket
- Compression side straps
- Stretch mesh water bottle pocket
- Direct inject/Screenprint branding
- Padded back panel
- Padded shoulder straps with integrated haul handle
- 48.5cm H x 31.75cm W x 20cm D  (19""H x 12.5"" W x 8""D)
- 28.25L","2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",https://fs.amplifi.io//file?id=c7211058-3983-4a6f-8fce-740f1ceb6a2c,https://fs.amplifi.io//file?id=c7211058-3983-4a6f-8fce-740f1ceb6a2c&variant=thumb&extension=png,https://fs.amplifi.io//file?id=c7211058-3983-4a6f-8fce-740f1ceb6a2c,https://fs.amplifi.io//file?id=1b8b121d-59f4-4975-a99a-f3e76b50d4c5,,,,,,,,,
01005-435-01,01005-435-01,"Bike, Moto",SP23,TRANSIT,Backpack,Accessories,Soft Goods,FA21,"SP23, FA22, SP22, FA21",Backpack,Regular,,,Grey Camo,TRUE,FALSE,01005-435-01,01005-435-01,,,,,,,,OS,,,,,,,,75,80,CN,100% Polyester,"The all new TRANSIT backpack has been redesigned for functionality. We've added a zippered bottom compartment with interior expansion capabilities perfect for shoes or laundry. The main compartment has plenty of room for all needed supplies with a zippered mesh interior pocket with organization. There's a padded zippered side entry compartment that fits a 15"" laptop and or tablet. We've also included a zippered fleece lined eyewear/media pocket up top and a side stretch mesh water bottle pocket. Also, included are padded airmesh back panel, straps and integrated haul handle for traveling. The redesigned TRANSIT backpack is sure to be your next go-to pack.","- Large main compartment
- 2 front zippered accessory stash pockets 
- Zippered bottom compartment for shoes/laundry with interior expansion
- Upper zippered fleece lined glasses pocket.
- Padded zippered side entry laptop/tablet pocket with gusset
- Internal organization pockets and mesh zippered stash pocket
- Compression side straps
- Stretch mesh water bottle pocket
- Direct inject/Screenprint branding
- Padded back panel
- Padded shoulder straps with integrated haul handle
- 48.5cm H x 31.75cm W x 20cm D  (19""H x 12.5"" W x 8""D)
- 28.25L","2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",https://fs.amplifi.io//file?id=6bd68b74-f97f-4395-b1e2-b42609ccf748,https://fs.amplifi.io//file?id=6bd68b74-f97f-4395-b1e2-b42609ccf748&variant=thumb&extension=png,https://fs.amplifi.io//file?id=979f7248-ffb5-4738-b4c6-786179a1e52f,https://fs.amplifi.io//file?id=6bd68b74-f97f-4395-b1e2-b42609ccf748,https://fs.amplifi.io//file?id=fe93e48b-9c01-47a0-a767-1a00529cd5d7,https://fs.amplifi.io//file?id=3701cc2f-08da-482e-adcd-c941d85b2016,,,,,,,
10000-00000,10000-00000,Moto,SP23,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"SP23, FA22, SP22",Gloves,Regular,,,Black/Charcoal,TRUE,TRUE,10000-00000,10000-00000,10000-00001,10000-00002,10000-00003,10000-00004,,,,S,M,L,XL,2XL,,,,32.5,34.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",https://fs.amplifi.io//file?id=49b96c13-97be-4197-b853-60594abd3ff9,https://fs.amplifi.io//file?id=49b96c13-97be-4197-b853-60594abd3ff9&variant=thumb&extension=png,https://fs.amplifi.io//file?id=49b96c13-97be-4197-b853-60594abd3ff9,,,,,,,,,,
10000-00005,10000-00005,Moto,SP23,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"SP23, FA22, SP22",Gloves,Regular,,,Blue,TRUE,TRUE,10000-00005,10000-00005,10000-00006,10000-00007,10000-00008,10000-00009,,,,S,M,L,XL,2XL,,,,32.5,34.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",https://fs.amplifi.io//file?id=702e291b-2df4-40e9-9d3c-99de9139f842,https://fs.amplifi.io//file?id=702e291b-2df4-40e9-9d3c-99de9139f842&variant=thumb&extension=png,https://fs.amplifi.io//file?id=702e291b-2df4-40e9-9d3c-99de9139f842,,,,,,,,,,
10000-00010,10000-00010,Moto,SP23,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"SP23, FA22, SP22",Gloves,Regular,,,Fluo Yellow/Black,TRUE,TRUE,10000-00010,10000-00010,10000-00011,10000-00012,10000-00013,10000-00014,,,,S,M,L,XL,2XL,,,,32.5,34.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",https://fs.amplifi.io//file?id=54fa7a1a-6a08-4523-a55e-1744e1d1028e,https://fs.amplifi.io//file?id=54fa7a1a-6a08-4523-a55e-1744e1d1028e&variant=thumb&extension=png,https://fs.amplifi.io//file?id=54fa7a1a-6a08-4523-a55e-1744e1d1028e,,,,,,,,,,
10000-00015,10000-00015,Moto,SP23,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"SP23, FA22, SP22",Gloves,Regular,,,Navy/White,TRUE,FALSE,10000-00015,10000-00015,10000-00016,10000-00017,10000-00018,,,,,S,M,L,XL,,,,,32.5,34.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",https://fs.amplifi.io//file?id=d108c315-1470-4d25-93ce-f7a8827b304a,https://fs.amplifi.io//file?id=d108c315-1470-4d25-93ce-f7a8827b304a&variant=thumb&extension=png,https://fs.amplifi.io//file?id=d108c315-1470-4d25-93ce-f7a8827b304a,,,,,,,,,,
10000-00025,10000-00025,Moto,SP23,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"SP23, FA22, SP22",Gloves,Regular,,,Red/Black,TRUE,TRUE,10000-00025,10000-00025,10000-00026,10000-00027,10000-00028,10000-00029,,,,S,M,L,XL,2XL,,,,32.5,34.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",https://fs.amplifi.io//file?id=b7320249-3743-4089-a568-147913c99830,https://fs.amplifi.io//file?id=b7320249-3743-4089-a568-147913c99830&variant=thumb&extension=png,https://fs.amplifi.io//file?id=b7320249-3743-4089-a568-147913c99830,,,,,,,,,,
