Hash,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,YouthWomen,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,imageURL,thumbURL
10000-00000,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Black/Charcoal,TRUE,TRUE,10000-00000,10000-00000,10000-00001,10000-00002,10000-00003,10000-00004,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=49b96c13-97be-4197-b853-60594abd3ff9,https://fs.amplifi.io//file?id=49b96c13-97be-4197-b853-60594abd3ff9&variant=thumb&extension=png
10000-00005,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Blue,TRUE,TRUE,10000-00005,10000-00005,10000-00006,10000-00007,10000-00008,10000-00009,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=702e291b-2df4-40e9-9d3c-99de9139f842,https://fs.amplifi.io//file?id=702e291b-2df4-40e9-9d3c-99de9139f842&variant=thumb&extension=png
10000-00010,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Fluo Yellow/Black,TRUE,TRUE,10000-00010,10000-00010,10000-00011,10000-00012,10000-00013,10000-00014,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=54fa7a1a-6a08-4523-a55e-1744e1d1028e,https://fs.amplifi.io//file?id=54fa7a1a-6a08-4523-a55e-1744e1d1028e&variant=thumb&extension=png
10000-00015,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Navy/White,TRUE,FALSE,10000-00015,10000-00015,10000-00016,10000-00017,10000-00018,10000-00019,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=d108c315-1470-4d25-93ce-f7a8827b304a,https://fs.amplifi.io//file?id=d108c315-1470-4d25-93ce-f7a8827b304a&variant=thumb&extension=png
10000-00025,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Red/Black,TRUE,TRUE,10000-00025,10000-00025,10000-00026,10000-00027,10000-00028,10000-00029,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=b7320249-3743-4089-a568-147913c99830,https://fs.amplifi.io//file?id=b7320249-3743-4089-a568-147913c99830&variant=thumb&extension=png
10001-00000,Moto,2023 - Spring,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Black/Charcoal,TRUE,TRUE,10001-00000,10001-00000,10001-00001,10001-00002,10001-00003,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=5fcc6cac-b815-47fb-b130-e46be9152db8,https://fs.amplifi.io//file?id=5fcc6cac-b815-47fb-b130-e46be9152db8&variant=thumb&extension=png
10001-00004,Moto,2023 - Spring,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Fluo Yellow/Black,TRUE,TRUE,10001-00004,10001-00004,10001-00005,10001-00006,10001-00007,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=73b94358-8929-4d8b-b88d-2d866842d352,https://fs.amplifi.io//file?id=73b94358-8929-4d8b-b88d-2d866842d352&variant=thumb&extension=png
10001-00008,Moto,2023 - Spring,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Red/Black,TRUE,TRUE,10001-00008,10001-00008,10001-00009,10001-00010,10001-00011,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=8f601035-6659-46af-8e4f-0613e2c04c0f,https://fs.amplifi.io//file?id=8f601035-6659-46af-8e4f-0613e2c04c0f&variant=thumb&extension=png
10008-00005,Moto,2023 - Spring,ITRACK,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Black,TRUE,TRUE,10008-00005,10008-00005,10008-00006,10008-00007,10008-00008,10008-00009,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=0928ccac-a9a7-469f-b7d5-ddc7053a8215,https://fs.amplifi.io//file?id=0928ccac-a9a7-469f-b7d5-ddc7053a8215&variant=thumb&extension=png
10008-00010,Moto,2023 - Spring,ITRACK,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Fluo Yellow,TRUE,TRUE,10008-00010,10008-00010,10008-00011,10008-00012,10008-00013,10008-00014,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=6741be02-65f7-4018-b176-d0c0a7ce4672,https://fs.amplifi.io//file?id=6741be02-65f7-4018-b176-d0c0a7ce4672&variant=thumb&extension=png
